time_s,phase,alt_agl_m,airspeed,roll_deg,pitch_deg,climb_mps,throttle_pct,theta_cmd_deg,lat,lon,load_factor_nz,load_factor_total
0.06,GROUND,-0.21,1.06,0.02,0.01,0.05,0,-0.00,28.5597410,77.1174499,0.955,0.955
0.36,GROUND,-0.19,1.78,0.02,-0.03,-0.02,90,-1.57,28.5597413,77.1174486,1.004,1.110
0.66,GROUND,-0.17,2.62,0.02,-0.09,-0.00,90,-2.00,28.5597426,77.1174429,1.002,1.093
0.96,GROUND,-0.17,3.56,0.02,-0.13,-0.01,90,-2.00,28.5597448,77.1174334,1.000,1.080
1.26,GROUND,-0.16,4.45,0.02,-0.13,-0.01,90,-2.00,28.5597479,77.1174204,1.001,1.067
1.57,GROUND,-0.15,5.29,0.02,-0.12,-0.01,90,-2.00,28.5597517,77.1174041,1.001,1.060
1.86,CLIMB,-0.14,6.29,0.02,-0.15,-0.01,90,-1.50,28.5597563,77.1173846,1.001,1.059
2.16,CLIMB,-0.13,7.29,0.03,-0.19,-0.01,90,-0.02,28.5597616,77.1173620,1.001,1.057
2.36,CLIMB,-0.12,7.97,0.03,-0.20,-0.01,90,1.00,28.5597655,77.1173452,1.001,1.057
2.66,CLIMB,-0.12,8.95,0.03,-0.12,-0.01,90,2.49,28.5597719,77.1173180,1.001,1.055
2.96,CLIMB,-0.12,9.81,0.02,0.54,-0.30,90,3.98,28.5597789,77.1172882,0.548,0.605
3.26,CLIMB,-0.22,10.54,0.08,3.87,0.29,90,4.48,28.5597862,77.1172562,1.223,1.257
3.56,CLIMB,-0.17,11.06,0.16,7.25,0.43,90,5.97,28.5597942,77.1172226,1.379,1.426
3.76,CLIMB,-0.06,11.44,0.27,8.83,0.35,90,6.98,28.5598002,77.1171996,0.810,0.848
4.06,CLIMB,0.04,11.90,0.80,10.25,0.48,90,8.47,28.5598090,77.1171638,1.142,1.177
4.27,CLIMB,0.18,12.07,0.87,10.98,0.79,90,9.46,28.5598149,77.1171395,1.118,1.151
4.56,CLIMB,0.49,12.41,0.60,12.27,1.19,90,10.98,28.5598239,77.1171026,1.122,1.154
4.86,CLIMB,0.92,12.48,0.32,13.57,1.59,90,12.47,28.5598326,77.1170659,1.113,1.144
5.06,CLIMB,1.26,12.66,0.26,14.54,1.83,90,13.49,28.5598384,77.1170415,1.107,1.137
5.36,CLIMB,1.87,12.73,0.28,15.98,2.18,90,14.98,28.5598469,77.1170051,1.085,1.114
5.66,CLIMB,2.57,12.78,0.28,17.47,2.49,90,16.46,28.5598553,77.1169691,1.034,1.062
5.96,CLIMB,3.35,12.66,0.21,19.00,2.75,90,16.50,28.5598636,77.1169334,1.068,1.098
6.27,CLIMB,4.21,12.49,0.15,20.20,2.95,90,16.50,28.5598716,77.1168984,1.037,1.068
6.56,CLIMB,5.12,12.21,0.12,21.21,3.08,90,16.50,28.5598793,77.1168642,1.026,1.059
6.86,CLIMB,6.05,12.04,0.13,21.89,3.12,90,16.50,28.5598866,77.1168314,0.961,0.995
7.06,CLIMB,6.68,11.76,0.12,22.20,3.12,90,16.50,28.5598913,77.1168102,0.968,1.004
7.36,CLIMB,7.59,11.41,0.08,22.48,3.02,90,16.50,28.5598981,77.1167793,0.963,1.002
7.66,CLIMB,8.47,11.10,0.06,22.38,2.88,90,16.50,28.5599046,77.1167493,0.924,0.965
7.96,CLIMB,9.29,10.79,0.04,21.97,2.67,90,16.50,28.5599109,77.1167197,0.885,0.927
8.27,CLIMB,10.05,10.58,0.03,21.24,2.45,90,16.50,28.5599170,77.1166906,0.880,0.925
8.56,CLIMB,10.74,10.32,0.03,20.38,2.14,90,16.50,28.5599231,77.1166618,0.852,0.897
8.86,CLIMB,11.34,10.09,0.01,19.37,1.92,90,16.50,28.5599290,77.1166334,0.890,0.940
9.06,CLIMB,11.71,10.00,0.00,18.61,1.73,90,16.50,28.5599329,77.1166146,0.850,0.898
9.36,CLIMB,12.18,9.95,0.00,17.58,1.48,90,15.53,28.5599388,77.1165865,0.894,0.945
9.67,CLIMB,12.59,9.82,-0.00,16.35,1.27,90,14.42,28.5599447,77.1165581,0.864,0.913
9.96,CLIMB,12.93,9.80,-0.01,15.07,1.07,90,13.28,28.5599508,77.1165293,0.894,0.944
10.27,CLIMB,13.21,10.00,-0.04,13.83,0.89,90,12.12,28.5599571,77.1164996,0.907,0.956
10.56,CLIMB,13.43,10.15,-0.05,12.61,0.73,90,11.13,28.5599635,77.1164693,0.916,0.963
10.86,CLIMB,13.62,10.40,-0.05,11.49,0.60,90,10.30,28.5599703,77.1164380,0.941,0.986
11.06,CLIMB,13.73,10.52,-0.05,10.79,0.56,90,10.04,28.5599749,77.1164170,0.927,0.970
11.36,CLIMB,13.89,10.75,-0.05,9.89,0.52,90,9.77,28.5599820,77.1163847,0.978,1.020
11.67,CLIMB,14.04,11.06,-0.04,9.20,0.53,90,9.72,28.5599894,77.1163516,0.968,1.006
11.96,CLIMB,14.20,11.43,-0.04,8.91,0.51,90,9.54,28.5599972,77.1163175,0.992,1.028
12.27,CLIMB,14.36,11.71,-0.05,8.73,0.59,90,9.87,28.5600052,77.1162821,0.986,1.019
12.56,CLIMB,14.54,12.09,-0.06,8.86,0.64,90,10.04,28.5600136,77.1162458,1.031,1.062
12.86,CLIMB,14.76,12.35,-0.06,9.12,0.80,90,10.70,28.5600223,77.1162085,1.025,1.054
13.06,CLIMB,14.94,12.42,-0.06,9.34,0.95,90,11.38,28.5600281,77.1161837,1.023,1.051
13.36,CLIMB,15.26,12.65,-0.07,9.89,1.15,90,12.20,28.5600369,77.1161461,1.044,1.071
13.67,CLIMB,15.64,12.89,-0.08,10.65,1.35,90,13.01,28.5600459,77.1161082,1.042,1.067
13.96,CLIMB,16.10,13.00,-0.09,11.50,1.62,90,14.16,28.5600549,77.1160700,1.072,1.097
14.27,CLIMB,16.64,13.12,-0.10,12.43,1.85,90,15.11,28.5600640,77.1160316,1.058,1.081
14.56,CLIMB,17.23,13.20,-0.10,13.59,2.04,90,15.88,28.5600730,77.1159930,1.070,1.094
14.86,CLIMB,17.89,13.18,-0.10,14.72,2.29,90,16.50,28.5600821,77.1159546,1.051,1.074
15.07,CLIMB,18.37,13.18,-0.10,15.42,2.46,90,16.50,28.5600880,77.1159293,1.068,1.092
15.36,CLIMB,19.15,13.03,-0.09,16.37,2.67,90,16.50,28.5600966,77.1158922,1.036,1.061
15.67,CLIMB,19.98,12.91,-0.09,17.27,2.79,90,16.50,28.5601050,77.1158557,1.025,1.050
15.96,CLIMB,20.85,12.85,-0.09,17.99,2.93,90,16.50,28.5601132,77.1158200,1.005,1.032
16.27,CLIMB,21.74,12.68,-0.09,18.51,2.98,90,16.50,28.5601213,77.1157849,0.987,1.015
16.56,CLIMB,22.63,12.35,-0.07,19.03,2.93,90,16.50,28.5601291,77.1157502,0.967,0.996
16.86,CLIMB,23.51,12.10,-0.07,19.33,2.88,90,16.50,28.5601368,77.1157162,0.956,0.987
17.07,CLIMB,24.09,11.99,-0.07,19.41,2.84,90,16.50,28.5601418,77.1156939,0.968,1.001
17.36,CLIMB,24.92,11.72,-0.05,19.30,2.76,90,16.50,28.5601490,77.1156614,0.963,0.999
17.67,CLIMB,25.72,11.46,-0.05,19.04,2.61,90,16.50,28.5601560,77.1156297,0.919,0.955
17.96,CLIMB,26.46,11.32,-0.05,18.82,2.41,90,16.50,28.5601629,77.1155984,0.913,0.950
18.27,CLIMB,27.17,11.20,-0.04,18.25,2.26,90,16.50,28.5601698,77.1155672,0.896,0.934
18.56,CLIMB,27.82,11.04,-0.04,17.59,2.09,90,16.50,28.5601766,77.1155361,0.906,0.946
18.86,CLIMB,28.42,10.92,-0.04,16.98,1.90,90,16.50,28.5601834,77.1155050,0.906,0.947
19.07,CLIMB,28.79,10.73,-0.04,16.63,1.77,90,16.50,28.5601879,77.1154843,0.921,0.963
19.36,CLIMB,29.31,10.63,-0.03,15.95,1.67,90,16.01,28.5601948,77.1154534,0.910,0.952
19.67,CLIMB,29.79,10.83,-0.02,15.41,1.52,90,15.09,28.5602016,77.1154226,0.939,0.982
19.96,CLIMB,30.22,10.85,-0.02,14.83,1.41,90,14.45,28.5602085,77.1153915,0.924,0.966
20.27,CLIMB,30.63,10.97,-0.02,14.14,1.32,90,13.92,28.5602155,77.1153600,0.928,0.969
20.56,CLIMB,31.00,10.97,-0.02,13.66,1.20,90,13.26,28.5602227,77.1153280,0.929,0.969
20.86,CLIMB,31.35,11.09,-0.02,13.08,1.15,90,12.95,28.5602301,77.1152955,0.947,0.986
21.07,CLIMB,31.57,11.08,-0.03,12.68,1.11,90,12.74,28.5602351,77.1152734,0.912,0.949
21.36,CLIMB,31.89,11.22,-0.04,12.24,1.10,90,12.63,28.5602427,77.1152401,0.951,0.988
21.67,CLIMB,32.22,11.45,-0.03,11.86,1.08,90,12.43,28.5602504,77.1152065,0.938,0.973
21.96,CLIMB,32.55,11.59,-0.03,11.63,1.13,90,12.60,28.5602583,77.1151726,0.965,0.999
22.26,CLIMB,32.88,11.76,-0.02,11.62,1.15,90,12.59,28.5602663,77.1151382,1.003,1.037
22.47,CLIMB,33.12,11.80,-0.01,11.61,1.22,90,12.94,28.5602718,77.1151148,0.986,1.018
22.76,CLIMB,33.50,11.90,-0.01,11.65,1.32,90,13.37,28.5602802,77.1150792,0.986,1.016
22.97,CLIMB,33.77,12.09,-0.02,11.87,1.35,90,13.40,28.5602858,77.1150553,1.019,1.050
23.26,CLIMB,34.19,12.15,-0.03,12.27,1.46,90,13.90,28.5602945,77.1150191,1.001,1.031
23.56,CLIMB,34.66,12.36,-0.02,12.66,1.61,90,14.48,28.5603031,77.1149830,0.997,1.025
23.77,CLIMB,34.99,12.40,-0.02,13.05,1.68,90,14.80,28.5603088,77.1149590,1.006,1.034
24.06,CLIMB,35.52,12.47,-0.02,13.62,1.83,90,15.44,28.5603174,77.1149231,1.001,1.029
24.37,CLIMB,36.09,12.53,-0.03,14.33,1.96,90,15.98,28.5603260,77.1148872,1.003,1.031
24.66,CLIMB,36.70,12.56,-0.04,15.00,2.10,90,16.50,28.5603346,77.1148512,1.001,1.029
24.97,CLIMB,37.35,12.49,-0.05,15.71,2.21,90,16.50,28.5603432,77.1148153,1.036,1.065
25.26,CLIMB,38.04,12.40,-0.05,16.35,2.30,90,16.50,28.5603517,77.1147797,1.029,1.059
25.56,CLIMB,38.76,12.19,-0.04,16.89,2.40,90,16.50,28.5603600,77.1147447,1.003,1.033
25.77,CLIMB,39.26,12.14,-0.03,17.17,2.45,90,16.50,28.5603654,77.1147218,0.995,1.026
26.06,CLIMB,40.00,12.08,-0.04,17.56,2.48,90,16.50,28.5603735,77.1146878,1.008,1.040
26.37,CLIMB,40.75,11.89,-0.02,17.67,2.52,90,16.50,28.5603813,77.1146543,0.988,1.021
26.66,CLIMB,41.51,11.76,-0.02,17.84,2.47,90,16.50,28.5603892,77.1146210,0.963,0.997
26.97,CLIMB,42.24,11.71,-0.01,18.01,2.37,90,16.50,28.5603969,77.1145880,0.922,0.955
27.26,CLIMB,42.96,11.53,-0.00,17.89,2.37,90,16.50,28.5604045,77.1145553,0.939,0.975
27.56,CLIMB,43.67,11.45,-0.01,17.66,2.24,90,16.50,28.5604121,77.1145230,0.904,0.940
27.77,CLIMB,44.11,11.40,-0.02,17.61,2.17,90,16.50,28.5604170,77.1145018,0.918,0.955
28.06,CLIMB,44.74,11.24,-0.01,17.49,2.05,90,16.50,28.5604243,77.1144703,0.948,0.987
28.37,CLIMB,45.35,11.07,-0.00,17.06,1.99,90,16.50,28.5604316,77.1144391,0.939,0.979
28.66,CLIMB,45.93,11.01,-0.00,16.56,1.90,90,16.50,28.5604388,77.1144077,0.910,0.949
28.97,CLIMB,46.49,10.92,-0.00,16.12,1.80,90,16.49,28.5604462,77.1143761,0.918,0.957
29.26,CLIMB,47.02,10.93,-0.01,15.81,1.70,90,15.95,28.5604536,77.1143444,0.908,0.947
29.56,CLIMB,47.52,10.91,-0.01,15.66,1.59,90,15.40,28.5604610,77.1143126,0.943,0.983
29.77,CLIMB,47.83,11.01,-0.01,15.47,1.55,90,15.10,28.5604660,77.1142916,0.937,0.977
30.06,CLIMB,48.30,11.02,-0.01,14.90,1.55,90,15.07,28.5604734,77.1142600,0.924,0.963
30.37,CLIMB,48.74,11.04,-0.00,14.68,1.42,90,14.40,28.5604809,77.1142282,0.925,0.963
30.66,CLIMB,49.16,11.11,-0.00,14.35,1.43,90,14.41,28.5604885,77.1141962,0.938,0.977
30.97,CLIMB,49.59,11.16,-0.00,14.03,1.38,90,14.10,28.5604962,77.1141637,0.965,1.003
31.27,CLIMB,50.00,11.30,-0.01,13.78,1.36,90,13.89,28.5605041,77.1141307,0.936,0.973
31.56,CLIMB,50.41,11.35,-0.01,13.63,1.36,90,13.89,28.5605121,77.1140974,0.962,0.999
31.77,CLIMB,50.68,11.39,-0.01,13.52,1.37,90,13.88,28.5605175,77.1140750,0.950,0.986
32.06,CLIMB,51.10,11.54,0.01,13.36,1.40,90,13.97,28.5605256,77.1140417,0.938,0.972
32.37,CLIMB,51.53,11.61,0.01,13.44,1.44,90,14.14,28.5605338,77.1140081,1.003,1.039
32.66,CLIMB,51.97,11.70,0.01,13.48,1.49,90,14.32,28.5605420,77.1139744,0.976,1.010
32.97,CLIMB,52.43,11.68,0.01,13.62,1.57,90,14.72,28.5605504,77.1139401,1.004,1.038
33.27,CLIMB,52.92,11.84,0.01,13.68,1.68,90,15.16,28.5605589,77.1139055,1.024,1.058
33.56,CLIMB,53.42,11.86,0.00,14.04,1.68,90,15.16,28.5605675,77.1138707,0.996,1.028
33.77,CLIMB,53.77,11.82,0.00,14.31,1.79,90,15.71,28.5605732,77.1138476,1.018,1.051
34.06,CLIMB,54.31,11.93,0.01,14.78,1.85,90,15.93,28.5605817,77.1138132,1.027,1.060
34.37,CLIMB,54.88,12.02,0.01,15.22,1.95,90,16.32,28.5605902,77.1137790,0.995,1.027
34.66,CLIMB,55.47,11.94,0.01,15.83,2.01,90,16.50,28.5605986,77.1137449,1.040,1.074
34.97,CLIMB,56.09,11.93,0.01,16.16,2.09,90,16.50,28.5606071,77.1137109,0.956,0.987
35.27,CLIMB,56.73,11.92,0.00,16.59,2.13,90,16.50,28.5606155,77.1136770,0.964,0.996
35.56,CLIMB,57.38,11.76,0.01,16.84,2.19,90,16.50,28.5606238,77.1136433,0.974,1.007
35.77,CLIMB,57.83,11.70,0.01,16.98,2.23,90,16.50,28.5606294,77.1136208,0.999,1.034
36.06,CLIMB,58.51,11.64,0.01,17.03,2.25,90,16.50,28.5606375,77.1135878,0.943,0.976
36.37,CLIMB,59.19,11.59,0.01,17.32,2.19,90,16.50,28.5606456,77.1135552,0.963,0.998
36.67,CLIMB,59.85,11.51,0.01,17.42,2.19,90,16.50,28.5606535,77.1135230,0.922,0.957
36.97,CLIMB,60.51,11.43,0.02,17.46,2.13,90,16.50,28.5606614,77.1134910,0.932,0.968
37.27,CLIMB,61.14,11.38,0.02,17.42,2.07,90,16.50,28.5606693,77.1134590,0.950,0.988
37.56,CLIMB,61.75,11.14,0.01,17.25,2.01,90,16.50,28.5606771,77.1134271,0.920,0.958
37.77,CLIMB,62.15,11.10,0.01,17.11,1.97,90,16.50,28.5606823,77.1134059,0.934,0.973
38.06,CLIMB,62.72,11.06,0.01,16.95,1.85,90,16.50,28.5606900,77.1133743,0.923,0.962
38.37,CLIMB,63.26,10.90,0.02,16.71,1.82,90,16.50,28.5606977,77.1133432,0.957,0.998
38.67,CLIMB,63.79,10.85,0.01,16.37,1.76,90,16.34,28.5607053,77.1133121,0.954,0.995
38.96,CLIMB,64.30,10.90,0.01,16.10,1.69,90,15.90,28.5607130,77.1132809,0.941,0.981
39.17,CLIMB,64.63,10.88,0.01,15.96,1.63,90,15.60,28.5607182,77.1132601,0.971,1.013
