wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.425,-1,0,0,0,0,0,0,0,0.00203,0.00184,-1.30626,0.00026,0.00036,0.00033,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.425,-1,285597410,771174500,237140,95,0,1,0,0.00204,0.00185,-1.30623,0.00031,0.00033,0.00026,0.006,0.010,-0.045,0.009,0.016,-0.010,0.57,0.02,285,0,0.01,0,0,0,0,0,0,0.00,4.99,99.91,-28.91,0.00
13.426,-1,285597410,771174500,237140,97,0,1,0,0.00206,0.00187,-1.30621,0.00030,0.00038,0.00024,0.006,0.011,-0.047,0.009,0.016,-0.010,0.30,0.02,285,10,0.01,0,0,0,0,0,0,0.00,4.99,99.91,239.10,0.00
13.427,10,285597410,771174500,237140,99,0,1,0,0.00207,0.00188,-1.30619,0.00027,0.00032,0.00028,0.007,0.011,-0.049,0.010,0.015,-0.010,0.59,0.02,285,20,0.01,0,0,0,0,0,0,0.00,4.99,99.91,1970.39,0.00
13.428,10,285597410,771174500,237150,100,1,0,0,0.00209,0.00190,-1.30617,0.00034,0.00036,0.00024,0.007,0.011,-0.050,0.014,-0.000,-0.010,0.45,0.01,285,30,0.01,0,0,0,0,0,0,0.00,4.99,99.90,2940.81,0.00
13.428,10,285597410,771174499,237150,101,2,-4,-1,0.00210,0.00191,-1.30614,0.00029,0.00033,0.00027,0.008,0.007,-0.051,0.028,-0.049,-0.010,0.41,0.06,285,40,0.01,0,0,0,0,0,0,0.00,4.99,99.90,2955.16,0.00
13.429,10,285597411,771174499,237150,102,5,-15,-1,0.00211,0.00190,-1.30611,0.00028,0.00035,0.00031,0.012,-0.004,-0.053,0.056,-0.151,-0.010,0.37,0.16,285,50,0.01,0,0,0,0,0,0,0.00,4.99,99.90,2958.75,0.00
13.430,10,285597411,771174497,237150,104,10,-32,-1,0.00213,0.00189,-1.30610,0.00035,0.00030,0.00018,0.019,-0.029,-0.054,0.104,-0.326,-0.011,0.53,0.34,285,60,0.01,0,0,0,0,0,0,0.00,4.99,99.90,2963.43,0.00
13.431,10,285597412,771174492,237150,105,17,-59,-1,0.00214,0.00185,-1.30608,0.00027,0.00033,0.00029,0.032,-0.077,-0.055,0.176,-0.592,-0.011,0.80,0.62,285,70,0.01,0,0,0,0,0,0,0.00,4.99,99.90,2946.66,0.00
13.431,10,285597414,771174484,237150,106,27,-96,-1,0.00215,0.00179,-1.30608,0.00029,0.00035,0.00028,0.054,-0.156,-0.057,0.278,-0.967,-0.012,0.82,1.01,285,80,0.01,0,0,0,0,0,0,0.00,4.99,99.90,2920.34,0.00
