wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.435,-1,0,0,0,0,0,0,0,0.00205,0.00186,-1.30623,0.00026,0.00036,0.00033,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.435,-1,285597410,771174500,237050,1,0,1,0,0.00206,0.00187,-1.30621,0.00031,0.00033,0.00026,0.007,0.011,0.049,0.010,0.016,-0.003,0.57,0.02,285,0,0.00,0,0,0,0,0,0,0.00,4.99,100.00,-28.91,0.00
13.435,-1,285597410,771174500,237050,2,0,1,0,0.00208,0.00188,-1.30619,0.00030,0.00038,0.00024,0.007,0.011,0.047,0.010,0.016,-0.003,0.30,0.02,285,10,0.00,0,0,0,0,0,0,0.00,4.99,100.00,239.10,0.00
13.436,10,285597410,771174500,237050,4,1,1,0,0.00209,0.00190,-1.30616,0.00027,0.00032,0.00028,0.007,0.012,0.046,0.010,0.016,-0.003,0.59,0.02,285,20,0.00,0,0,0,0,0,0,0.00,4.99,100.00,1970.39,0.00
13.436,10,285597410,771174500,237050,5,1,0,0,0.00210,0.00191,-1.30614,0.00034,0.00036,0.00024,0.007,0.011,0.045,0.015,0.001,-0.003,0.45,0.01,285,30,0.00,0,0,0,0,0,0,0.00,4.99,100.00,2940.81,0.00
13.436,10,285597410,771174499,237050,6,2,-4,0,0.00212,0.00192,-1.30612,0.00029,0.00033,0.00027,0.009,0.008,0.044,0.028,-0.048,-0.003,0.41,0.06,285,40,0.00,0,0,0,0,0,0,0.00,4.99,100.00,2955.16,0.00
13.437,10,285597411,771174499,237050,7,5,-15,0,0.00213,0.00192,-1.30609,0.00028,0.00035,0.00031,0.012,-0.003,0.043,0.056,-0.150,-0.004,0.37,0.16,285,50,0.00,0,0,0,0,0,0,0.00,4.99,100.00,2958.75,0.00
13.437,10,285597411,771174497,237050,8,10,-32,0,0.00214,0.00190,-1.30607,0.00035,0.00030,0.00019,0.019,-0.028,0.042,0.104,-0.326,-0.004,0.53,0.34,285,60,0.00,0,0,0,0,0,0,0.00,4.99,100.00,2963.43,0.00
13.437,10,285597412,771174492,237050,9,17,-59,0,0.00215,0.00186,-1.30606,0.00027,0.00033,0.00029,0.032,-0.076,0.041,0.176,-0.592,-0.005,0.80,0.62,285,70,0.00,0,0,0,0,0,0,0.00,4.99,100.00,2946.66,0.00
13.438,10,285597414,771174484,237060,10,27,-96,0,0.00215,0.00179,-1.30606,0.00029,0.00035,0.00028,0.054,-0.156,0.040,0.278,-0.967,-0.006,0.82,1.01,285,80,0.01,0,0,0,0,0,0,0.00,4.99,99.99,2920.35,0.00
13.438,10,285597417,771174471,237060,11,41,-147,0,0.00216,0.00169,-1.30608,0.00031,0.00025,0.00033,0.088,-0.281,0.039,0.415,-1.470,-0.006,0.73,1.53,285,90,0.01,0,0,0,0,0,0,0.00,4.99,99.99,2917.90,0.00
13.438,10,285597422,771174452,237060,11,58,-211,0,0.00216,0.00155,-1.30614,0.00032,0.00028,0.00021,0.138,-0.465,0.038,0.589,-2.114,-0.008,1.10,2.19,285,100,0.01,0,0,0,0,0,0,0.00,6.06,99.99,2926.84,0.00
13.439,10,285597428,771174426,237060,12,77,-280,0,0.00216,0.00137,-1.30624,0.00030,0.00026,0.00024,0.206,-0.719,0.038,0.776,-2.803,-0.008,1.64,2.91,285,100,0.01,0,0,0,0,0,0,0.00,8.43,99.99,2889.66,0.00
13.439,10,285597436,771174393,237060,12,96,-349,0,0.00216,0.00118,-1.30641,0.00027,0.00025,0.00026,0.294,-1.042,0.038,0.962,-3.492,-0.009,2.47,3.62,285,100,0.01,0,0,0,0,0,0,0.00,9.28,99.99,2835.48,0.00
