wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
12.319,-1,0,0,0,0,0,0,0,0.00203,0.00183,-1.30628,0.00023,0.00033,0.00020,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
12.320,-1,285597410,771174500,237000,-57,0,1,0,0.00204,0.00184,-1.30626,0.00028,0.00033,0.00025,0.006,0.011,0.098,0.009,0.016,0.000,0.42,0.02,285,0,-0.00,0,0,0,0,0,0,0.00,4.99,100.06,-36.12,0.00
12.320,-1,285597410,771174500,236990,-60,0,1,0,0.00205,0.00186,-1.30624,0.00029,0.00031,0.00025,0.007,0.011,0.100,0.009,0.016,0.001,0.71,0.02,285,8,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,-42.10,0.00
12.320,-1,285597410,771174500,236990,-62,0,1,0,0.00206,0.00187,-1.30621,0.00032,0.00031,0.00028,0.007,0.011,0.102,0.010,0.016,0.001,0.81,0.02,285,18,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,226.02,0.00
12.321,-1,285597410,771174500,236990,-62,1,0,0,0.00208,0.00188,-1.30619,0.00026,0.00032,0.00032,0.007,0.011,0.103,0.013,0.005,0.001,0.29,0.01,285,28,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,1919.38,0.00
12.321,-1,285597410,771174499,236990,-63,2,-3,0,0.00209,0.00188,-1.30616,0.00037,0.00033,0.00028,0.008,0.009,0.103,0.024,-0.035,0.001,0.57,0.04,285,38,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,2971.10,0.00
12.321,10,285597410,771174499,236990,-63,4,-12,0,0.00210,0.00188,-1.30614,0.00030,0.00038,0.00021,0.011,-0.000,0.103,0.049,-0.124,0.001,0.29,0.13,285,48,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,2942.52,0.00
12.322,10,285597411,771174497,236990,-63,9,-28,0,0.00211,0.00185,-1.30612,0.00031,0.00030,0.00028,0.017,-0.022,0.104,0.092,-0.283,0.001,0.58,0.30,285,58,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,2970.62,0.00
12.322,10,285597412,771174493,236990,-63,15,-52,0,0.00213,0.00182,-1.30611,0.00031,0.00034,0.00029,0.029,-0.065,0.104,0.159,-0.529,0.000,0.48,0.55,285,68,-0.00,0,0,0,0,0,0,0.00,4.99,100.07,2941.61,0.00
12.322,10,285597414,771174485,236990,-63,25,-88,0,0.00213,0.00175,-1.30610,0.00026,0.00032,0.00027,0.049,-0.137,0.103,0.255,-0.881,-0.001,0.19,0.92,285,78,0.00,0,0,0,0,0,0,0.00,4.99,100.07,2952.02,0.00
12.323,10,285597417,771174474,236990,-62,38,-136,0,0.00213,0.00168,-1.30612,0.00032,0.00032,0.00022,0.080,-0.254,0.102,0.385,-1.362,-0.002,0.25,1.41,285,88,0.00,0,0,0,0,0,0,0.00,4.99,100.07,2980.49,0.00
