wall_time_s,ardu_mode,lat_degE7,lon_degE7,alt_msl_mm,alt_agl_mm,vx_cmps,vy_cmps,vz_cmps,roll_rad,pitch_rad,yaw_rad,rollspeed_rps,pitchspeed_rps,yawspeed_rps,local_x_m,local_y_m,local_z_m,local_vx_mps,local_vy_mps,local_vz_mps,airspeed_mps,groundspeed_mps,heading_deg,throttle_pct,climb_mps,xacc_mg,yacc_mg,zacc_mg,xgyro_mradps,ygyro_mradps,zgyro_mradps,nav_roll_deg,nav_pitch_deg,alt_error_m,aspd_error_mps,xtrack_error_m
13.443,-1,0,0,0,0,0,0,0,0.00209,0.00190,-1.30616,0.00033,0.00031,0.00025,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
13.443,-1,285597410,771174500,236850,-199,0,1,1,0.00210,0.00191,-1.30614,0.00028,0.00035,0.00031,0.007,0.012,0.249,0.010,0.017,0.010,0.38,0.02,285,0,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,-41.40,0.00
13.444,-1,285597410,771174500,236850,-197,1,1,0,0.00211,0.00193,-1.30612,0.00035,0.00031,0.00019,0.007,0.012,0.247,0.010,0.017,0.010,0.56,0.02,285,10,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,258.98,0.00
13.444,-1,285597410,771174500,236850,-195,1,1,0,0.00213,0.00194,-1.30609,0.00027,0.00034,0.00029,0.007,0.012,0.246,0.011,0.016,0.009,0.74,0.02,285,20,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,1943.87,0.00
13.444,-1,285597410,771174500,236850,-194,1,0,0,0.00214,0.00195,-1.30606,0.00029,0.00038,0.00028,0.008,0.012,0.245,0.015,0.001,0.009,0.56,0.02,285,30,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,2926.31,0.00
13.444,-1,285597410,771174499,236850,-194,2,-4,0,0.00215,0.00196,-1.30604,0.00031,0.00028,0.00033,0.009,0.009,0.244,0.029,-0.047,0.009,0.98,0.06,285,40,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,2943.86,0.00
13.445,-1,285597411,771174499,236850,-194,5,-14,0,0.00216,0.00195,-1.30602,0.00032,0.00032,0.00023,0.012,-0.002,0.244,0.056,-0.149,0.008,0.57,0.16,285,50,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,2902.21,0.00
13.445,-1,285597411,771174497,236850,-194,10,-32,0,0.00217,0.00193,-1.30600,0.00030,0.00030,0.00026,0.019,-0.028,0.244,0.104,-0.324,0.008,0.35,0.34,285,60,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,2943.31,0.00
13.445,10,285597412,771174492,236850,-194,17,-58,0,0.00218,0.00189,-1.30599,0.00027,0.00030,0.00031,0.033,-0.075,0.245,0.176,-0.590,0.007,0.70,0.62,285,70,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,2965.21,0.00
13.446,10,285597414,771174484,236850,-195,27,-96,0,0.00218,0.00182,-1.30599,0.00034,0.00026,0.00028,0.054,-0.155,0.245,0.278,-0.965,0.006,0.98,1.00,285,80,-0.01,0,0,0,0,0,0,0.00,4.99,100.20,2929.89,0.00
